Function,Dim,Algorithm,Population,Iterations,Mean,Std,Best,Time
Rastrigin,10,ABC,10,50,82.06132020573384,12.915094729178643,56.19355731065969,0.018770718574523927
Rastrigin,10,PSO,10,100,40.132110872232616,21.159609257863984,12.934587520745723,0.016566741466522216
Rastrigin,10,ABC,10,100,84.07136356623116,11.69744991827455,61.558047878494484,0.021350288391113283
Rastrigin,10,PSO,10,200,58.454186745736614,31.261984879973923,8.045795272103774,0.01986948251724243
Rastrigin,10,ABC,10,200,82.89121090506372,10.64904153392605,59.44591443199657,0.022602152824401856
Rastrigin,10,PSO,20,50,32.325120005130096,12.012473798814923,14.72618206665679,0.01768958568572998
Rastrigin,10,ABC,20,50,72.89287470720805,12.073532287671696,50.049762357101635,0.03646107912063599
Rastrigin,10,PSO,20,100,21.308098608715433,15.862585123740514,6.8947088035239545,0.03264687061309814
Rastrigin,10,ABC,20,100,72.18534043694913,11.243684508077873,50.47634460730435,0.03981049060821533
Rastrigin,10,PSO,20,200,41.61038972853218,26.63960600219028,6.964846724183246,0.04459782838821411
Rastrigin,10,ABC,20,200,75.06084266586626,9.408239004408921,59.098270542254326,0.045277738571166994
Rastrigin,10,PSO,50,50,17.85608791403738,6.8389526037961605,6.766186126628938,0.04468048810958862
Rastrigin,10,ABC,50,50,64.1480751813392,6.2434787128080576,52.6538822788598,0.09341257810592651
Rastrigin,10,PSO,50,100,15.5016252415948,12.514540486603407,2.9978134831332426,0.0823506236076355
Rastrigin,10,ABC,50,100,65.10823752914065,6.986501136271548,53.465330392495254,0.10942082405090332
Rastrigin,10,PSO,50,200,36.67541390154061,22.08263102514276,4.974795288482937,0.09051206111907958
Rastrigin,10,ABC,50,200,64.91470752981458,6.589595754960685,50.60344637199298,0.09947071075439454
Rastrigin,10,PSO,100,50,17.524109038203505,6.620359222254117,7.863346259908553,0.08727117776870727
Rastrigin,10,ABC,100,50,56.30260410831719,7.919591691192763,36.52324179241501,0.20692793130874634
Rastrigin,10,PSO,100,100,9.830746853984264,9.803975122386321,3.100568940366159,0.16919476985931398
Rastrigin,10,ABC,100,100,59.306833404518535,5.501524153904948,50.222780015684236,0.20996440649032594
Rastrigin,10,PSO,100,200,25.55864925158683,22.537819155326527,1.9899181143355662,0.22968151569366455
Rastrigin,10,ABC,100,200,60.14522220386135,6.653764172630748,43.55219714641807,0.22241098880767823
Schwefel,2,PSO,10,50,71.13907248513536,87.28193005442799,2.5915921014529886e-05,0.007182514667510987
Schwefel,2,ABC,10,50,75.02205722522716,75.35347935319331,0.00019688197471623425,0.01593282222747803
Schwefel,2,PSO,10,100,47.37535931028408,69.06082315811032,2.545513257246057e-05,0.014512622356414795
Schwefel,2,ABC,10,100,69.84343024089077,71.96930772158025,2.5455132458773733e-05,0.02567821741104126
Schwefel,2,PSO,10,200,130.46377286450414,83.09397885868694,2.5455132345086895e-05,0.01972421407699585
Schwefel,2,ABC,10,200,141.9333796811542,109.04037316370058,2.545513257246057e-05,0.021997559070587158
Schwefel,2,PSO,20,50,83.05574216227825,54.05208573796898,2.5606309691283968e-05,0.014036548137664796
Schwefel,2,ABC,20,50,37.304149931915916,49.58818835562662,0.013354010173543429,0.030619442462921143
Schwefel,2,PSO,20,100,59.21919292263281,79.4508500825038,2.5455132458773733e-05,0.02820364236831665
Schwefel,2,ABC,20,100,43.35186178055311,51.989010623457204,2.5455132458773733e-05,0.044913721084594724
Schwefel,2,PSO,20,200,65.38718306478431,88.07663122708361,2.5455132345086895e-05,0.0310430645942688
Schwefel,2,ABC,20,200,44.12894273191505,62.29959987775622,2.5455132458773733e-05,0.05281428098678589
Schwefel,2,PSO,50,50,2.043387468758965,8.89904444083253,2.5468589001320652e-05,0.03550920486450195
Schwefel,2,ABC,50,50,2.106318767282528,3.4712314848780887,0.0002715370453643118,0.08433178663253785
Schwefel,2,PSO,50,100,29.609867501754252,51.28515410784133,2.5455132345086895e-05,0.0683908462524414
Schwefel,2,ABC,50,100,0.537590307853435,1.3657168145424015,2.5455134846197325e-05,0.134052836894989
Schwefel,2,PSO,50,200,23.68942117776043,47.37654334214215,2.5455132345086895e-05,0.09970086812973022
Schwefel,2,ABC,50,200,16.41383264286568,34.965593914370196,2.5455132345086895e-05,0.16262649297714232
Schwefel,2,PSO,100,50,17.766273367184475,42.29073552110336,2.545863435443607e-05,0.06782371997833252
Schwefel,2,ABC,100,50,0.9892880827031831,2.3916781235247115,2.8648989427892957e-05,0.16876646280288696
Schwefel,2,PSO,100,100,5.921942825929108,25.81303643443643,2.5455132345086895e-05,0.13600051403045654
Schwefel,2,ABC,100,100,0.4314595974998383,0.8574953549348932,2.5455132458773733e-05,0.26823605298995973
Schwefel,2,PSO,100,200,5.923707140680728,25.812632430143072,2.5455132345086895e-05,0.1857727885246277
Schwefel,2,ABC,100,200,1.9246560720654942,5.604709205901431,2.5455132345086895e-05,0.24694539308547975
Schwefel,5,PSO,10,50,429.75783766256666,243.58050111799616,15.385581570112208,0.00807349681854248
Schwefel,5,ABC,10,50,967.0805546680103,153.89300218690593,670.8789860101997,0.01669917106628418
Schwefel,5,PSO,10,100,350.89142510558554,265.03061606670417,0.30891660462475556,0.015702927112579347
Schwefel,5,ABC,10,100,930.9231386789525,175.90258763473824,601.3564959935024,0.01820368766784668
Schwefel,5,PSO,10,200,391.5338862145135,246.7051792679163,6.363784905261127e-05,0.03080427646636963
Schwefel,5,ABC,10,200,909.2360974932506,154.22823063504205,625.2667928641727,0.019552528858184814
Schwefel,5,PSO,20,50,283.1338242380915,167.4557219447419,0.009611022711851547,0.015479660034179688
Schwefel,5,ABC,20,50,777.1945969506658,123.85495222026296,533.0414883130554,0.03245755434036255
Schwefel,5,PSO,20,100,309.0776745701758,200.5419110752229,6.365550552800414e-05,0.031210923194885255
Schwefel,5,ABC,20,100,805.5190981526952,110.32407654338989,589.2204846493446,0.034714698791503906
Schwefel,5,PSO,20,200,285.28148231172247,152.5151429224017,6.363783131746459e-05,0.0593185544013977
Schwefel,5,ABC,20,200,872.7469711750309,88.14191761600621,649.6244446611645,0.03804013729095459
Schwefel,5,PSO,50,50,261.1150836303229,204.1932501460412,0.00011503769837872824,0.0379183292388916
Schwefel,5,ABC,50,50,665.740182528783,86.14427691225337,403.1239505578983,0.08195271492004394
Schwefel,5,PSO,50,100,213.55919415212423,122.44598560045158,6.363984084600816e-05,0.07589805126190186
Schwefel,5,ABC,50,100,718.2284985894564,80.73929597839832,480.27211340991744,0.08847339153289795
Schwefel,5,PSO,50,200,275.3482695296812,147.93749973297523,6.363783086271724e-05,0.14148325920104982
Schwefel,5,ABC,50,200,695.8648559870252,91.51430998759471,524.8364105262363,0.10403796434402465
Schwefel,5,PSO,100,50,210.35253063429437,92.47672932540289,0.0011643040329545329,0.07614321708679199
Schwefel,5,ABC,100,50,615.4610542030989,71.46374716150203,414.7307821554896,0.17169345617294313
Schwefel,5,PSO,100,100,195.4997895106268,114.24917342810882,6.363805096043507e-05,0.1517411947250366
Schwefel,5,ABC,100,100,632.0731888685355,99.87112205422753,466.17400945206145,0.16902353763580322
Schwefel,5,PSO,100,200,177.88512448715306,115.71273866325352,6.363783086271724e-05,0.2962981343269348
Schwefel,5,ABC,100,200,644.7842615045774,67.46370783274803,543.520077761227,0.2021955966949463
Schwefel,10,PSO,10,50,1229.830452089434,297.87926992669344,677.34564524611,0.009273314476013183
Schwefel,10,ABC,10,50,2534.7296570703925,273.15816076485913,1551.254209030229,0.018300330638885497
Schwefel,10,PSO,10,100,1097.6341271984318,405.10310650053384,234.1564328370332,0.018656992912292482
Schwefel,10,ABC,10,100,2534.8471124869516,277.57298852568084,2102.4541020451898,0.019054722785949708
Schwefel,10,PSO,10,200,804.8566778766987,307.1220504388134,118.43846305455736,0.03789035081863403
Schwefel,10,ABC,10,200,2633.7098316531255,189.86426890570152,2168.883474540259,0.019204425811767577
Schwefel,10,PSO,20,50,1067.039076059103,229.39592797586783,714.7449530151935,0.0180788516998291
Schwefel,10,ABC,20,50,2342.6694164421706,167.39012836057316,2040.5795930804693,0.036022186279296875
Schwefel,10,PSO,20,100,998.3002984624006,332.91682844204183,236.9402248399747,0.03653582334518433
Schwefel,10,ABC,20,100,2412.4849018909713,116.84423943923083,2213.167489846371,0.0373836874961853
Schwefel,10,PSO,20,200,736.6899902306961,314.7610027899063,356.8321906311626,0.07305115461349487
Schwefel,10,ABC,20,200,2515.4816531205297,215.2087809896209,2157.75757075406,0.03751375675201416
Schwefel,10,PSO,50,50,826.1326155848443,312.33063160233445,120.8151522824769,0.04480478763580322
Schwefel,10,ABC,50,50,2204.6592062937625,144.81765485232742,1922.2041470477716,0.09392415285110474
Schwefel,10,PSO,50,100,707.2903039941938,265.03550490907793,236.87680840533403,0.0894688606262207
Schwefel,10,ABC,50,100,2236.3463002757553,198.61220325631047,1764.1026386268463,0.10360270738601685
Schwefel,10,PSO,50,200,677.9810476510775,310.4558985417246,118.43846189010083,0.17931439876556396
Schwefel,10,ABC,50,200,2239.703490771629,170.56622702220974,1858.4677123890588,0.11657655239105225
Schwefel,10,PSO,100,50,610.805889853809,295.3753337227737,120.59357596767359,0.0891349196434021
Schwefel,10,ABC,100,50,2107.1792035481403,192.05656575432212,1525.7693792564182,0.19866429567337035
Schwefel,10,PSO,100,100,647.7771319338106,197.47028823359344,236.8768141929554,0.17788288593292237
Schwefel,10,ABC,100,100,2163.3916889699235,155.5537116070008,1725.2182697902854,0.1984723448753357
